dataset_id,column_name,role
Reyes_unpub,Accuracy,accuracy
Reyes_unpub,Confidence,confidence
Reyes_unpub,RT_dec,rt_decision
Reyes_unpub,RT_conf,rt_confidence
Reyes_unpub,Condition,condition
Reyes_unpub,Contrast,difficulty
Rouault_2018_Expt1,Subj_idx,subj_idx
Rouault_2018_Expt1,Stimulus,stimulus
Rouault_2018_Expt1,Response,response
Rouault_2018_Expt1,Accuracy,accuracy
Rouault_2018_Expt1,Confidence,confidence
Rouault_2018_Expt1,RT_dec,rt_decision
Rouault_2018_Expt1,DotDiff,other
Rouault_2018_Expt2,Subj_idx,subj_idx
Rouault_2018_Expt2,Stimulus,stimulus
Rouault_2018_Expt2,Response,response
Rouault_2018_Expt2,Accuracy,accuracy
Rouault_2018_Expt2,Confidence,confidence
Rouault_2018_Expt2,RT_dec,rt_decision
Rouault_2018_Expt2,DotDiff,other
Rouault_2019,Subj_idx,subj_idx
Rouault_2019,Stimulus,stimulus
Rouault_2019,Response,response
Rouault_2019,Accuracy,accuracy
Rouault_2019,Confidence,confidence
Rouault_2019,RT_dec,rt_decision
Rouault_2019,RT_conf,rt_confidence
Rouault_2019,DotDiff,other
Rouault_2020,Subj_idx,subj_idx
Rouault_2020,Stimulus,stimulus
Rouault_2020,Response,response
Rouault_2020,Accuracy,accuracy
Rouault_2020,Confidence,confidence
Rouault_2020,RT_dec,rt_decision
Rouault_2020,RT_conf,rt_confidence
Rouault_2020,Difficulty,difficulty
Sadeghi_2017_memory,Subj_idx,subj_idx
Sadeghi_2017_memory,Stimulus,stimulus
Sadeghi_2017_memory,Response,response
Sadeghi_2017_memory,Confidence,confidence
Sadeghi_2017_memory,RT_dec,rt_decision
Sadeghi_2017_memory,RT_conf,rt_confidence
Sadeghi_2017_memory,group,other
Sadeghi_2017_perception,Subj_idx,subj_idx
Sadeghi_2017_perception,Stimulus,stimulus
Sadeghi_2017_perception,Response,response
Sadeghi_2017_perception,Confidence,confidence
Sadeghi_2017_perception,RT_dec,rt_decision
Sadeghi_2017_perception,RT_conf,rt_confidence
Sadeghi_2017_perception,contrast_difference,difficulty
Sadeghi_2017_perception,group,other
Samaha_2016,Subj_idx,subj_idx
Samaha_2016,Stimulus,stimulus
Samaha_2016,Response,response
Samaha_2016,Accuracy,accuracy
Samaha_2016,Confidence,confidence
Samaha_2016,RT_dec,rt_decision
Samaha_2016,Condition,condition
Samaha_2016,Task,condition
Samaha_2016,Block,trial_info
Samaha_2016,Load,other
Samaha_2017_exp1,Subj_idx,subj_idx
Samaha_2017_exp1,Stimulus,stimulus
Samaha_2017_exp1,Response,response
Samaha_2017_exp1,Confidence,confidence
Samaha_2017_exp1,RT_dec,rt_decision
Samaha_2017_exp1,Condition,condition
Samaha_2017_exp1,Task,condition
Samaha_2017_exp1,Block,trial_info
Samaha_2017_exp1,Error,other
Samaha_2017_exp2,Subj_idx,subj_idx
Samaha_2017_exp2,Stimulus,stimulus
Samaha_2017_exp2,Response,response
Samaha_2017_exp2,Confidence,confidence
